symbol,year,total_revenue,total_debt,ratio
EMR,2025,18016000000.0,13759000000.0,1.3093974852823607
EMR,2024,17492000000.0,8356000000.0,2.093346098611776
EMR,2023,15165000000.0,8561000000.0,1.7714052096717674
EMR,2022,13804000000.0,10686000000.0,1.2917836421486057
NEE,2025,27412000000.0,95619000000.0,0.28667942563716414
NEE,2024,24753000000.0,82333000000.0,0.3006449418823558
NEE,2023,28114000000.0,73211000000.0,0.3840133313299914
NEE,2022,20956000000.0,64966000000.0,0.322568728257858
DUK,2024,30357000000.0,85230000000.0,0.35617740232312567
DUK,2023,29060000000.0,80457000000.0,0.3611867208571038
DUK,2022,28768000000.0,74579000000.0,0.3857386127462154
DUK,2021,24621000000.0,68263000000.0,0.36067855207066785
SO,2024,26724000000.0,66277000000.0,0.4032168022089111
SO,2023,25253000000.0,63490000000.0,0.39774767679949596
SO,2022,29279000000.0,59135000000.0,0.49512133254417856
SO,2021,23113000000.0,55470000000.0,0.416675680548044
D,2024,14459000000.0,41750000000.0,0.3463233532934132
D,2023,14393000000.0,44243000000.0,0.32531699929932417
D,2022,13938000000.0,41203000000.0,0.3382763391015217
D,2021,11419000000.0,40581000000.0,0.28138784160074914
AEP,2025,21876000000.0,49508000000.0,0.44186798093237456
AEP,2024,19721000000.0,45763000000.0,0.4309376570591963
AEP,2023,18982000000.0,43608500000.0,0.4352821124322093
AEP,2022,19639500000.0,41579300000.0,0.4723383991553489
VZ,2024,134788000000.0,168357000000.0,0.8006082313179731
VZ,2023,133974000000.0,174942000000.0,0.7658195287581027
VZ,2022,136835000000.0,176331000000.0,0.7760121589510637
VZ,2021,133613000000.0,177930000000.0,0.7509301410667116
T,2025,125648000000.0,155043000000.0,0.810407435356643
T,2024,122336000000.0,140923000000.0,0.8681052773500422
T,2023,122428000000.0,154899000000.0,0.7903730818146018
T,2022,120741000000.0,154679000000.0,0.7805907718565546
TMUS,2025,88309000000.0,122269000000.0,0.7222517563732426
TMUS,2024,81400000000.0,113944000000.0,0.7143860141824054
TMUS,2023,78558000000.0,113086000000.0,0.6946748492297897
TMUS,2022,79571000000.0,111792000000.0,0.7117772291398311
CMCSA,2025,123707000000.0,98937000000.0,1.250361341055419
CMCSA,2024,123731000000.0,99093000000.0,1.248635120543328
CMCSA,2023,121572000000.0,97090000000.0,1.252157791739623
CMCSA,2022,121427000000.0,99983000000.0,1.2144764609983698
