symbol,entry_date,exit_date,exit_reason,pnl,return,days_held
AMZN,2018-05-24 00:00:00-04:00,2018-06-06 00:00:00-04:00,hold_expired,9421.442470289987,0.057801529048494754,8
LDG,2018-05-24 00:00:00-04:00,2018-06-06 00:00:00-04:00,hold_expired,7963.721199821276,0.08143110646506992,8
BA,2018-05-30 00:00:00-04:00,2018-06-11 00:00:00-04:00,hold_expired,6303.061044623858,0.03559271289945966,8
INTC,2018-05-30 00:00:00-04:00,2018-06-11 00:00:00-04:00,hold_expired,-2215.8467807317297,-0.020854457395298197,8
MU,2018-05-31 00:00:00-04:00,2018-06-12 00:00:00-04:00,hold_expired,9234.213596490192,0.05137999284723691,8
NVDA,2018-05-31 00:00:00-04:00,2018-06-12 00:00:00-04:00,hold_expired,4425.343342640113,0.041038832491594124,8
NFLX,2018-06-01 00:00:00-04:00,2018-06-13 00:00:00-04:00,hold_expired,10258.448271477058,0.055538576898427394,8
CVX,2018-06-01 00:00:00-04:00,2018-06-13 00:00:00-04:00,hold_expired,2880.0533536251883,0.025987852997205026,8
AMZN,2018-06-06 00:00:00-04:00,2018-06-18 00:00:00-04:00,hold_expired,2937.7840455048536,0.01652366743280801,8
NKE,2018-06-06 00:00:00-04:00,2018-06-18 00:00:00-04:00,hold_expired,1225.6868202171363,0.011489953156026432,8
BA,2018-06-11 00:00:00-04:00,2018-06-21 00:00:00-04:00,hold_expired,-16060.247947858425,-0.08972090385348364,8
INTC,2018-06-11 00:00:00-04:00,2018-06-21 00:00:00-04:00,hold_expired,-4592.257678477,-0.04275798235399715,8
MU,2018-06-12 00:00:00-04:00,2018-06-22 00:00:00-04:00,hold_expired,-10540.308478801506,-0.05699455829576434,8
NVDA,2018-06-12 00:00:00-04:00,2018-06-22 00:00:00-04:00,hold_expired,-4931.610946767097,-0.044444960975298424,8
NFLX,2018-06-13 00:00:00-04:00,2018-06-25 00:00:00-04:00,trailing_stop,2270.982124942793,0.011949617842497673,8
V,2018-06-13 00:00:00-04:00,2018-06-25 00:00:00-04:00,hold_expired,-2944.8922877567234,-0.025826531568598644,8
AMZN,2018-06-18 00:00:00-04:00,2018-06-28 00:00:00-04:00,hold_expired,-2385.3838145200384,-0.012971380265432595,8
NKE,2018-06-18 00:00:00-04:00,2018-06-28 00:00:00-04:00,hold_expired,-5707.375331941386,-0.05172690165260192,8
AMD,2018-06-21 00:00:00-04:00,2018-07-03 00:00:00-04:00,hold_expired,-7176.775935484314,-0.041597420728334195,8
BA,2018-06-21 00:00:00-04:00,2018-07-03 00:00:00-04:00,hold_expired,-1450.3447931267985,-0.014011206240442397,8
MU,2018-06-22 00:00:00-04:00,2018-07-05 00:00:00-04:00,hold_expired,-13005.891846023931,-0.07462394454804924,8
NVDA,2018-06-22 00:00:00-04:00,2018-07-05 00:00:00-04:00,hold_expired,-3442.08241435048,-0.03291647149429129,8
