date,compass_value,nightshift_value,combined_value,compass_dd,nightshift_dd,combined_dd
2021-09-09,2126438.991167976,34855.11471285546,2161294.1058808314,-0.01853539774323565,-0.34062565762017377,-0.018198898039385618
2021-09-10,2129215.474937794,35078.2616551087,2164293.7365929023,-0.017253902929542556,-0.3364042579916128,-0.01683626963514725
2021-09-13,2116906.789933051,35162.92234460771,2152069.7122776587,-0.022935015194065277,-0.3348026828160979,-0.02238922076310505
2021-09-14,2122789.4096329967,35185.846574458534,2157975.2562074554,-0.020219873575605878,-0.3343690119156582,-0.019706536568402083
2021-09-15,2136580.102007809,35092.37367785969,2171672.4756856686,-0.013854736149746152,-0.3361372927040864,-0.013484363870612092
2021-09-16,2139180.4663977018,35019.326520350696,2174199.7929180525,-0.012654529789606543,-0.33751916798528986,-0.012336291131688258
2021-09-17,2112057.7162919994,34469.53282811081,2146527.24912011,-0.025173120379398787,-0.347919932901767,-0.024906969930537114
2021-09-20,2074436.5353318504,34509.26968223839,2108945.8050140887,-0.042537294738899924,-0.3471682078744799,-0.04197891915584885
2021-09-21,2086372.7932072568,34644.45778416202,2121017.250991419,-0.03702807738689619,-0.34461077644618526,-0.03649527908550745
2021-09-22,2106560.7448743023,34767.69316506369,2141328.438039366,-0.027710264820643073,-0.3422794615470839,-0.02726860985453965
2021-09-23,2127381.6688030614,34583.00970024304,2161964.6785033043,-0.018100301916824397,-0.34577322535098354,-0.017894280107981886
2021-09-24,2122393.695517855,34399.778037006574,2156793.4735548617,-0.02040251666964139,-0.3492395245855445,-0.02024337952162966
2021-09-27,2109498.500126453,34048.643796675264,2143547.1439231285,-0.02635433464721438,-0.3558821338758277,-0.026260728569120335
2021-09-28,2035748.6861158847,34151.466620918836,2069900.1527368035,-0.06039379318565832,-0.35393697510427335,-0.05971600747173366
2021-09-29,2030477.2683906136,34274.10631858599,2064751.3747091996,-0.06282683261098447,-0.3516169290890722,-0.06205491911152268
2021-09-30,2040701.5586327096,34371.081564659,2075072.6401973686,-0.058107779302850444,-0.34978239233217756,-0.05736632545722109
2021-10-01,2052121.709817069,34233.084540068485,2086354.7943571373,-0.05283677261682606,-0.35239296177340174,-0.05224123333930402
2021-10-04,1998771.3577720176,34025.53444915607,2032796.8922211737,-0.0774607953457332,-0.35631930675415063,-0.07657073444362392
2021-10-05,2035893.860006445,33703.70452185424,2069597.5645282993,-0.060326787720018954,-0.36240754942444436,-0.05985346282116594
2021-10-06,2048744.867943007,33445.03745319814,2082189.9053962051,-0.054395364601160255,-0.36730090380573194,-0.054133198232124695
2021-10-07,2073171.017030026,33508.08004744874,2106679.097077475,-0.04312139869011014,-0.3661082906277706,-0.04300860611235093
2021-10-08,2049073.664997958,33401.9003556021,2082475.5653535603,-0.05424360728665414,-0.36811695320318455,-0.05400343280124042
2021-10-11,2048936.426610767,33583.75561214085,2082520.1822229077,-0.0543069500957629,-0.36467669224933585,-0.0539831649018499
2021-10-12,2070487.3323065965,33708.12110471801,2104195.4534113146,-0.04436006181216692,-0.3623239983747532,-0.0441368394618422
2021-10-13,2092120.766796317,34012.09102077283,2126132.8578170897,-0.03437508210426612,-0.3565736238557454,-0.03417143597457932
2021-10-14,2120961.8237102134,34146.63652338556,2155108.460233599,-0.021063401604505167,-0.35402834884987344,-0.021008822748968627
2021-10-15,2143494.660723665,33994.43210232054,2177489.0928259855,-0.010663299833902998,-0.3569076878184534,-0.010842076038286427
2021-10-18,2171184.8998852912,34019.188080175474,2205204.0879654665,0.0,-0.3564393646827374,0.0
2021-10-19,2180836.7778546456,34042.808444002825,2214879.5862986483,0.0,-0.3559925246136761,0.0
2021-10-20,2185140.0870188023,33968.515456368914,2219108.602475171,0.0,-0.3573979679831244,0.0
2021-10-21,2222151.66490638,33885.80561565325,2256037.4705220335,0.0,-0.3589626378251123,0.0
2021-10-22,2237311.7240587086,33975.1948468311,2271286.91890554,0.0,-0.35727161009476893,0.0
2021-10-25,2313847.2321485747,33937.836298482864,2347785.0684470576,0.0,-0.3579783433375747,0.0
2021-10-26,2306436.845653604,33960.616200306256,2340397.4618539102,-0.003202625649615511,-0.35754740277381475,-0.003146628152820615
2021-10-27,2316978.9187311307,34082.97105594358,2351061.889787074,0.0,-0.35523274527985793,0.0
2021-10-28,2356510.872211358,33845.89571297514,2390356.767924333,0.0,-0.3597176365118075,0.0
2021-10-29,2382739.2189671025,33892.55984947456,2416631.778816577,0.0,-0.35883486408169196,0.0
2021-11-01,2425369.773464016,33874.83894628165,2459244.6124102976,0.0,-0.35917010064554955,0.0
2021-11-02,2416574.17442954,33850.3031823523,2450424.4776118924,-0.0036264981656441795,-0.35963425786720793,-0.003586521956333836
2021-11-03,2448671.514417426,33907.49973304909,2482579.014150475,0.0,-0.35855223767267447,0.0
2021-11-04,2529195.080739504,34057.19353859217,2563252.2742780964,0.0,-0.3557203934684178,0.0
2021-11-05,2513622.100216412,34091.568370056746,2547713.668586469,-0.006157287210340006,-0.3550701049217267,-0.006062066479977601
2021-11-08,2498249.1864358988,34307.54859962535,2532556.7350355242,-0.012235471490224963,-0.350984282137551,-0.011975231447406835
2021-11-09,2435446.9207930607,34113.61681586884,2469560.5376089294,-0.037066401346563096,-0.35465300173392733,-0.036551898386807787
