date,portfolio_value,cash,positions_count,regime_mult
2024-07-02,1209105.7870863448,10185.620133066066,31,1.0
2024-07-03,1197771.713889762,10185.620133066066,31,1.0
2024-07-05,1203180.4885210232,10185.620133066066,31,1.0
2024-07-08,1205585.46981451,10185.620133066066,31,1.0
2024-07-09,1208575.835359974,10185.620133066066,31,1.0
2024-07-10,1226894.060903155,10185.620133066066,31,1.0
2024-07-11,1227935.8969000306,10185.620133066066,31,1.0
2024-07-12,1237397.1599326574,10185.620133066066,31,1.0
2024-07-15,1242502.572455989,10185.620133066066,31,1.0
2024-07-16,1287680.1143763775,10185.620133066066,31,1.0
2024-07-17,1317154.9308043318,10185.620133066066,31,0.75
2024-07-18,1299376.2094040469,10185.620133066066,31,0.75
2024-07-19,1297699.464366562,10185.620133066066,31,0.75
2024-07-22,1290345.2924916544,10185.620133066066,31,0.75
2024-07-23,1282779.3959501572,10185.620133066066,31,0.75
2024-07-24,1285620.3302562158,10185.620133066066,31,0.75
2024-07-25,1282660.7473255226,10185.620133066066,31,0.75
2024-07-26,1299209.4789584957,10185.620133066066,31,0.75
2024-07-29,1294511.9326970438,10185.620133066066,31,0.75
2024-07-30,1303605.9630567727,10185.620133066066,31,0.75
2024-07-31,1304129.2970368336,10185.620133066066,31,0.75
2024-08-01,1295793.4345897646,10185.620133066066,31,0.75
2024-08-02,1317046.7159148261,10185.620133066066,31,0.75
2024-08-05,1281990.7971335123,10185.620133066066,31,0.75
2024-08-06,1279799.457921261,10185.620133066066,31,0.75
2024-08-07,1275338.7538520412,10185.620133066066,31,0.75
2024-08-08,1285535.6276982732,10185.620133066066,31,0.75
2024-08-09,1277455.9949356674,10185.620133066066,31,0.75
2024-08-12,1285617.1959690375,10185.620133066066,31,0.75
2024-08-13,1299939.8488067302,10185.620133066066,31,0.75
2024-08-14,1309439.106789448,10185.620133066066,31,0.75
2024-08-15,1317041.320850196,10185.620133066066,31,1.0
2024-08-16,1315520.0132581352,10185.620133066066,31,1.0
2024-08-19,1322168.342668835,10185.620133066066,31,1.0
2024-08-20,1325509.437527927,10185.620133066066,31,1.0
2024-08-21,1324595.8202106573,10185.620133066066,31,1.0
2024-08-22,1323105.014025081,10185.620133066066,31,1.0
2024-08-23,1334948.1450588494,10185.620133066066,31,1.0
2024-08-26,1338946.0527643142,10185.620133066066,31,1.0
2024-08-27,1340463.314418471,10185.620133066066,31,1.0
2024-08-28,1338032.1262944094,10185.620133066066,31,1.0
2024-08-29,1342144.0727415255,10185.620133066066,31,1.0
2024-08-30,1345660.6563232979,10185.620133066066,31,1.0
2024-09-03,1350114.3581311312,10185.620133066066,31,1.0
2024-09-04,1358701.272089389,10185.620133066066,31,1.0
2024-09-05,1344463.8269649865,10185.620133066066,31,1.0
2024-09-06,1340397.7880986875,10185.620133066066,31,1.0
2024-09-09,1345360.6934178867,10185.620133066066,31,1.0
2024-09-10,1353352.755330099,10185.620133066066,31,1.0
2024-09-11,1342711.7150593838,10185.620133066066,31,1.0
2024-09-12,1344368.658896414,10185.620133066066,31,1.0
2024-09-13,1354263.5107590142,10185.620133066066,31,1.0
2024-09-16,1353930.6485229477,10185.620133066066,31,1.0
2024-09-17,1338185.401325074,10185.620133066066,31,1.0
2024-09-18,1337888.3101471076,10185.620133066066,31,1.0
2024-09-19,1337753.5269361392,10185.620133066066,31,1.0
2024-09-20,1334929.2420630592,10185.620133066066,31,1.0
2024-09-23,1335409.214983519,10185.620133066066,31,1.0
2024-09-24,1335764.3197355354,10185.620133066066,31,1.0
2024-09-25,1336631.0288748797,10185.620133066066,31,1.0
2024-09-26,1335017.9864338255,10185.620133066066,31,1.0
2024-09-27,1342876.3210405954,10185.620133066066,31,1.0
2024-09-30,1349030.9670096452,10185.620133066066,31,1.0
2024-10-01,1345198.5376745735,10185.620133066066,31,1.0
2024-10-02,1355024.797092716,10185.620133066066,31,1.0
2024-10-03,1354318.6823200975,10185.620133066066,31,1.0
2024-10-04,1357759.652332805,10185.620133066066,31,1.0
2024-10-07,1344748.0381242875,10185.620133066066,31,1.0
2024-10-08,1346202.2504107556,10185.620133066066,31,1.0
2024-10-09,1363334.2880754166,10185.620133066066,31,1.0
2024-10-10,1365454.3471717362,10185.620133066066,31,1.0
2024-10-11,1371395.6939524962,10185.620133066066,31,1.0
2024-10-14,1381575.511450054,10185.620133066066,31,1.0
2024-10-15,1317401.6011325307,10185.620133066066,31,1.0
2024-10-16,1336214.0283378821,10185.620133066066,31,0.75
2024-10-17,1328893.957300221,10185.620133066066,31,0.75
2024-10-18,1334449.9255169726,10185.620133066066,31,0.75
2024-10-21,1332908.0608874527,10185.620133066066,31,0.75
2024-10-22,1330428.9120785506,10185.620133066066,31,0.75
2024-10-23,1324378.1883184598,10185.620133066066,31,0.75
