symbol,strategy,entry_date,exit_date,exit_reason,pnl_pct,hold_days
TSLA,RATTLESNAKE,2014-05-08,2014-05-13,PROFIT,0.06478521181646202,3
TSLA,RATTLESNAKE,2014-07-08,2014-07-18,TIME,0.004336525619554665,8
TSLA,RATTLESNAKE,2014-09-15,2014-09-25,TIME,-0.027219727151317707,8
AVGO,RATTLESNAKE,2014-10-10,2014-10-16,PROFIT,0.05941713162991569,4
UNP,RATTLESNAKE,2014-10-13,2014-10-16,PROFIT,0.06066462925015914,3
TSLA,RATTLESNAKE,2014-10-13,2014-10-21,PROFIT,0.04786496848180488,6
INTC,RATTLESNAKE,2014-10-16,2014-10-21,PROFIT,0.05705001804753995,3
CHTR,RATTLESNAKE,2014-11-10,2014-11-13,PROFIT,0.04167235584388118,3
CRM,RATTLESNAKE,2014-11-21,2014-12-04,TIME,0.013060742581700646,8
C,RATTLESNAKE,2014-12-16,2014-12-18,PROFIT,0.05725997775125968,2
INTC,RATTLESNAKE,2015-01-30,2015-02-11,TIME,0.022719105465695666,8
GILD,RATTLESNAKE,2015-02-09,2015-02-12,PROFIT,0.040247267862827396,3
ABBV,RATTLESNAKE,2015-02-05,2015-02-18,TIME,0.021555169878893166,8
NFLX,RATTLESNAKE,2015-03-10,2015-03-20,TIME,-0.015538241995995072,8
NVDA,RATTLESNAKE,2015-03-25,2015-04-07,TIME,0.038973576100290064,8
AVGO,RATTLESNAKE,2015-04-29,2015-05-01,PROFIT,0.04930350419644336,2
NVDA,RATTLESNAKE,2015-05-08,2015-05-20,TIME,0.014756820387406666,8
BMY,RATTLESNAKE,2015-07-27,2015-08-06,TIME,-0.011819810324255275,8
DIS,RATTLESNAKE,2015-08-06,2015-08-18,TIME,-0.014831612604430333,8
ADBE,RATTLESNAKE,2015-08-21,2015-08-24,STOP,-0.058323899370156584,1
SCHW,RATTLESNAKE,2015-08-21,2015-08-25,STOP,-0.06886518836885192,2
NVDA,RATTLESNAKE,2015-08-21,2015-08-25,STOP,-0.05542598290235046,2
META,RATTLESNAKE,2015-08-21,2015-08-27,PROFIT,0.042644905415706535,4
ADBE,RATTLESNAKE,2015-08-26,2015-09-08,TIME,0.03168235988917689,8
NFLX,RATTLESNAKE,2015-09-03,2015-09-08,STOP,-0.060459139547201945,2
NFLX,RATTLESNAKE,2015-09-08,2015-09-09,PROFIT,0.044549798924873985,1
LLY,RATTLESNAKE,2015-09-28,2015-09-30,PROFIT,0.04953605393648508,2
BKNG,RATTLESNAKE,2015-09-28,2015-10-02,PROFIT,0.05548986746893969,4
