date,portfolio_value,cash,positions,drawdown,leverage,in_protection,risk_on,universe_size
2015-10-23,202697.58243452045,71126.06572384985,2,-0.014380503080194512,1.0,False,False,40
2015-10-26,204821.750325837,39626.46362395646,5,-0.004051710485497685,1.1184919788770433,False,True,40
2015-10-27,204697.05411330017,39622.055004489055,5,-0.004658047358351401,1.1073077612706794,False,True,40
2015-10-28,205939.07906990498,39615.106073997755,5,0.0,1.173889676197182,False,True,40
2015-10-29,206691.78658747804,39608.48350915188,5,0.0,1.164088641981783,False,True,40
2015-10-30,204811.24850042615,39600.88860719535,5,-0.009098271963777268,1.1935899298524402,False,True,40
2015-11-02,204659.23519188855,24320.305702206868,5,-0.009833730837336636,1.2704756257552066,False,True,40
2015-11-03,204906.93145718978,24309.325676241908,5,-0.008635346182625656,1.297039243052858,False,True,40
2015-11-04,207110.6171480325,24298.39574801942,5,0.0,1.291253747862294,False,True,40
2015-11-05,209904.10675865255,24286.715112793285,5,0.0,1.3116064733893416,False,True,40
2015-11-06,210236.19413232047,24275.108049937502,5,0.0,1.3084368942837667,False,True,40
2015-11-09,208713.0667894162,23521.44198373172,5,-0.007244838830870564,1.2329935475405034,False,True,40
2015-11-10,208890.6151319068,23511.015663550028,5,-0.006400320391867379,1.2712708260277064,False,True,40
2015-11-11,210845.52580506186,23500.28033304395,5,0.0,1.2780546016850507,False,True,40
2015-11-12,208828.24965667428,23490.38262415701,5,-0.009567554922899629,1.2544130831013238,False,True,40
2015-11-13,204388.2977278174,23482.68350087242,5,-0.03062539768197172,1.1933743013513445,False,True,40
2015-11-16,206463.4467784822,34889.468657779114,5,-0.020783362653050193,1.094631601198969,False,True,40
