symbol,entry_date,exit_date,entry_price,exit_price,shares,pnl_pct,pnl_dollar,hold_days,exit_reason
GE,2007-01-25,2007-02-01,110.45523071289062,110.12086486816406,428,-0.0030271617067705314,-162.84589532470702,5,mean_reverted_sma
AAPL,2007-02-01,2007-02-06,2.5390660762786865,2.5213875770568848,18888,-0.0069625991174329105,-390.803863022232,3,mean_reverted_ibs
AMGN,2007-02-02,2007-02-07,47.30070877075195,47.67528533935547,1012,0.007919047691630654,357.8243462188721,3,mean_reverted_sma
CVX,2007-02-07,2007-02-08,34.792911529541016,35.32456970214844,1374,0.01528064623611658,708.4820453201294,1,mean_reverted_sma
AMD,2007-01-31,2007-02-09,15.550000190734863,14.899999618530273,3068,-0.04180067937181631,-2019.0218754066468,7,time_stop
ADBE,2007-02-07,2007-02-12,38.150001525878906,38.09000015258789,1253,-0.0015727751216553232,-96.79346515426636,3,mean_reverted_sma
PG,2007-02-06,2007-02-13,37.56524658203125,37.63506317138672,1270,0.0018585420224250804,67.02618980407715,5,mean_reverted_sma
DIS,2007-02-12,2007-02-13,27.4390869140625,27.981075286865234,1719,0.019752420133374304,909.1865610832214,1,mean_reverted_ibs
GOOGL,2007-02-05,2007-02-14,11.603020668029785,11.572470664978027,4120,-0.00263293533001574,-153.20261743164062,7,mean_reverted_sma
MSFT,2007-02-08,2007-02-14,20.697643280029297,20.86878776550293,2307,0.008268790951613703,371.0375767032623,4,mean_reverted_sma
JNJ,2007-02-12,2007-02-14,37.51102066040039,37.734519958496094,1258,0.005958230252360197,259.7143389846802,2,mean_reverted_sma
AMGN,2007-02-20,2007-02-21,45.189369201660156,45.91130447387695,1056,0.01597577671410111,741.011185180664,1,mean_reverted_ibs
CVX,2007-02-16,2007-02-22,34.1602897644043,34.0927619934082,1400,-0.0019767915161673644,-116.44973388671876,3,mean_reverted_sma
AMD,2007-02-21,2007-02-26,14.5600004196167,15.680000305175781,3289,0.0769230668462142,3657.209751127052,3,mean_reverted_sma
