date,value,cash,positions,drawdown,leverage,in_protection,risk_on,regime_score,universe_size,overlay_scalar,damped_scalar,bso_scalar,m2_scalar,fomc_scalar,fed_emergency,cash_rate_daily,v_recovery_boost
2004-11-26,96101.36911459989,20749.224547168535,5,-0.10475106200216214,0.9809957519913515,True,True,0.6953757485319695,40,1.0,1.0,1.0,1.0,1.0,0,8.571428571428571e-05,0.0
2004-11-29,95720.02886616676,17061.91692303108,5,-0.10830350309192938,0.9667859876322825,True,True,0.7411835536020412,40,1.0,1.0,1.0,1.0,1.0,0,8.730158730158731e-05,0.0
2004-11-30,95245.51321486222,17063.399684858916,5,-0.1127239357747058,0.9491042569011768,True,True,0.7494332034139173,40,1.0,1.0,1.0,1.0,1.0,0,8.69047619047619e-05,0.0
2004-12-01,96448.92235616033,17287.022446799256,5,-0.1015133696230489,0.9939465215078045,True,True,0.6832916950527221,40,1.0,1.0,1.0,1.0,1.0,0,8.650793650793651e-05,0.0
2004-12-02,96641.6862557044,19560.49815041854,5,-0.0997176441516942,1.0,False,True,0.7002459144494425,40,1.0,1.0,1.0,1.0,1.0,0,8.650793650793651e-05,0.0
2004-12-03,96703.29896168994,19562.18252664816,5,-0.09914368032465486,1.0,False,True,0.6877462037321671,40,1.0,1.0,1.0,1.0,1.0,0,8.611111111111112e-05,0.0
2004-12-06,96420.00794680009,18114.76491880252,5,-0.10178272680818659,0.9928690927672537,True,True,0.7910170341804538,40,1.0,1.0,1.0,1.0,1.0,0,8.80952380952381e-05,0.0
2004-12-07,95098.6524126682,18116.353554932306,5,-0.11409204299741268,0.9436318280103493,True,True,0.739160150771055,40,1.0,1.0,1.0,1.0,1.0,0,8.769841269841269e-05,0.0
2004-12-08,96196.85525167348,17691.030174165913,5,-0.10386154436473173,0.984553822541073,True,True,0.7238065267541669,40,1.0,1.0,1.0,1.0,1.0,0,8.730158730158731e-05,0.0
2004-12-09,97183.9130918549,18783.778411026695,5,-0.09466643620647955,1.0,False,True,0.7211527369828954,40,1.0,1.0,1.0,1.0,1.0,0,8.730158730158731e-05,0.0
2004-12-10,97343.58175131946,18785.42571857782,5,-0.09317901517248027,1.0,False,True,0.7214256999325095,40,1.0,1.0,1.0,1.0,1.0,0,8.769841269841269e-05,0.0
