date,value,cash,positions,leverage,regime_score,regime_label,drawdown
2014-10-23,135419.96171745865,59733.37610994138,3,0.6422590365508655,0.23007423360310456,SEVERE_BEAR,-0.008388195614932105
2014-10-24,136105.44055540455,59742.66796844737,3,0.6857610814741498,0.28863324864285583,SEVERE_BEAR,-0.0033687812040676898
2014-10-27,136578.901003309,21505.109720525063,5,0.8513636094576856,0.33222031374984073,BEAR,0.0
2014-10-28,137564.63541869243,21508.45495981492,5,0.8351290111276192,0.41939071908893377,BEAR,0.0
2014-10-29,138199.38461661665,25600.627138839558,5,0.901881566299556,0.4278903889564525,BEAR,0.0
2014-10-30,137898.14813985027,10142.587934032055,8,0.6355041583203298,0.45975812828366036,MILD,-0.0021797237202036165
2014-10-31,138766.99069846928,10144.165669932905,8,0.9459806667589358,0.5176960192770004,MILD,0.0
2014-11-03,138340.22080545872,10145.74365125934,8,0.9279526678301694,0.5203986621160082,MILD,-0.003075442443930306
2014-11-04,139210.20266191108,10147.321878049535,8,1.0,0.5727801306821003,MILD,0.0
2014-11-05,138314.60470072774,10148.900350341677,8,1.0,0.6352941678001647,MILD,-0.006433421861746836
2014-11-06,138602.39063702727,2652.2361413866824,12,0.7921985758380617,0.7120013198414814,STRONG_BULL,-0.004366145679422327
2014-11-07,140461.20070533612,2652.6487114531205,12,1.0,0.7095375861490686,STRONG_BULL,0.0
2014-11-10,141578.4762847065,15250.566473547713,12,1.0,0.7271946508867155,STRONG_BULL,0.0
2014-11-11,141733.12266565702,15252.938783888043,12,1.0,0.7891153057632251,STRONG_BULL,0.0
2014-11-12,143126.0658577967,22661.645178508923,12,1.0,0.7913401271536364,STRONG_BULL,0.0
2014-11-13,141154.24353827577,11101.245333037288,12,0.8208714846945094,0.8272529154984246,STRONG_BULL,-0.013776821906640249
2014-11-14,140353.6165061219,11102.972193422427,12,1.0,0.8693644919253821,STRONG_BULL,-0.01937068091027783
2014-11-17,139797.218872037,11104.699322430293,12,1.0,0.885951086140145,STRONG_BULL,-0.0232581463467814
2014-11-18,140545.8172940975,17438.748400005137,12,1.0,0.888823237948254,STRONG_BULL,-0.018027803309166653
2014-11-19,138818.26229682847,17441.461094200695,12,1.0,0.8924172996317641,STRONG_BULL,-0.030097966678188842
2014-11-20,139607.32656058628,6011.4009521104,12,0.8423315886424471,0.9014236519167798,STRONG_BULL,-0.024584894974382
2014-11-21,138898.8107877208,6012.336058925172,12,1.0,0.894625354233634,STRONG_BULL,-0.0295351866533933
2014-11-24,139078.48547560716,9970.180888995717,12,0.9968625582949469,0.8970802841219103,STRONG_BULL,-0.028279827003775983
2014-11-25,139410.36619143462,9971.731806022895,12,1.0,0.8667858752705306,STRONG_BULL,-0.025961027043486438
2014-11-26,139804.80686303944,18812.219637506678,12,0.9433653068173552,0.8865779646395768,STRONG_BULL,-0.023205130210573258
2014-11-28,140086.60775093178,14057.372035468654,12,0.7706738334477555,0.8671183780194598,STRONG_BULL,-0.02123623037249396
2014-12-01,138965.59123049772,14059.558737785283,12,1.0,0.7994672613599525,STRONG_BULL,-0.029068601881593138
2014-12-02,141393.63913118688,14061.673250785925,12,1.0,0.783787307683919,STRONG_BULL,-0.012104201399143292
2014-12-03,141102.5539978943,15432.109126089175,12,0.952463656228511,0.789744762398104,STRONG_BULL,-0.014137968844283404
2014-12-04,140599.49482254332,15434.430066310917,12,1.0,0.7998200899744886,STRONG_BULL,-0.017652766602022446
2014-12-05,141632.04898801935,7752.433028608495,12,0.911737863679523,0.7894659833923209,STRONG_BULL,-0.010438468079334568
2014-12-08,141270.23516885794,7753.5989699250995,12,1.0,0.7268551367564671,STRONG_BULL,-0.012966406068777341
2014-12-09,139487.23432575865,7754.765086595577,12,1.0,0.7188976227201965,STRONG_BULL,-0.02542396110889697
2014-12-10,138634.66631827145,20290.329288871646,8,1.0,0.5412190307691268,MILD,-0.031380723787850666
2014-12-11,138683.5627202913,20293.38088998295,8,1.0,0.524690194046669,MILD,-0.03103909208207589
2014-12-12,138012.00677548413,30733.112548212837,5,0.922406722924063,0.436084382077701,BEAR,-0.03573115107763568
2014-12-15,137019.9112089885,30737.734710774654,5,0.9228820042401544,0.35108410101893195,BEAR,-0.042662771537890214
2014-12-16,135407.26308631242,30742.357568495045,5,0.9803495095312229,0.3499564586575765,BEAR,-0.05393009809375543
2014-12-17,135990.35491531272,36943.619056369105,5,0.7159537685437207,0.3080611789251014,BEAR,-0.04985612438738921
2014-12-18,138006.02455635136,36949.17525939385,5,0.5503591493525122,0.39576349064387634,BEAR,-0.035772947930619206
2014-12-19,136792.90807646222,34677.752277513835,5,0.547701019143439,0.4298491988124185,BEAR,-0.04424880781413222
2014-12-22,138160.2868136828,34682.967701368274,5,0.5532898756987964,0.4344072712425303,BEAR,-0.034695141058706046
2014-12-23,138306.07178315727,34688.1839096059,5,0.5538351511398728,0.43619030126003083,BEAR,-0.03367656370453406
2014-12-24,138335.97156751459,47699.385596585154,5,0.6164724072873464,0.44864236187548084,BEAR,-0.03346765846999053
2014-12-26,137582.59806667213,19711.961071704303,8,0.6176308908585035,0.4519514320801867,MILD,-0.03873136425500785
2014-12-29,136620.3469464946,19714.925688071835,8,0.7302929025998307,0.49894286016244926,MILD,-0.04545446611916153
2014-12-30,136609.35326586576,19717.890750308256,8,0.7426981700140545,0.4751748047107279,MILD,-0.04553127728953041
2014-12-31,136642.8627798235,67638.08663451606,5,0.723098025528397,0.4242396410189832,BEAR,-0.045297151424637014
2015-01-02,136390.07848148936,21972.22831389121,8,0.724049797370607,0.48702709475245654,MILD,-0.04706331677557532
2015-01-05,134697.3179302955,21975.24513571526,8,0.955548116725447,0.47837600890116533,MILD,-0.05889037665491059
2015-01-06,134173.6353294305,38353.338334268396,5,0.6004909048590864,0.3918519829661266,BEAR,-0.06254926714230323
2015-01-07,134610.10338634046,38358.604308500006,5,0.8894347023013991,0.4146615131892779,BEAR,-0.05949973137609536
2015-01-08,136644.98028328948,38363.871005758236,5,0.710876962027844,0.4132789826437946,BEAR,-0.045282356750771864
